Node,to_Node,distance
Bulgaria,Netherlands,1846.2256151378201
Switzerland,Netherlands,634.6649629348412
Czech R,Netherlands,730.7974078131568
Germany,Netherlands,374.9666919101029
Denmark,Netherlands,519.369135001267
Estonia,Netherlands,1470.1662004261875
Spain,Netherlands,1522.9448896921
Finland,Netherlands,1831.3229081511515
France,Netherlands,655.5512051952365
Great Brit.,Netherlands,479.0759626073879
Greece,Netherlands,1952.4525559536867
Croatia,Netherlands,1115.9121203906432
Hungary,Netherlands,1137.075147347181
Ireland,Netherlands,957.2576847754284
Italy,Netherlands,969.0006258103049
Lithuania,Netherlands,1299.2270745723376
Luxemb.,Netherlands,275.1089054950422
Latvia,Netherlands,1423.2959286762089
Macedonia,Netherlands,1728.0420230251268
Austria,NO1,1454.1073585009756
Bosnia H,NO1,1881.3497801273531
Belgium,NO1,1136.7305424968577
Bulgaria,NO1,2216.4185949616344
Switzerland,NO1,1517.5673181381435
Czech R,NO1,1194.4827872607896
Germany,NO1,1028.5819280040444
Denmark,NO1,455.87510456833513
Estonia,NO1,852.1748072786236
Spain,NO1,2473.572840977374
Finland,NO1,955.410589163592
France,NO1,1617.309579830472
Great Brit.,NO1,1133.491884180313
Greece,NO1,2506.0288700346055
Croatia,NO1,1694.6140013776403
Hungary,NO1,1581.0346404154461
Ireland,NO1,1426.028661030677
Italy,NO1,1780.6352640001091
Lithuania,NO1,980.0271683727827
Luxemb.,NO1,1213.5110458966901
Latvia,NO1,957.7612390876578
Macedonia,NO1,2236.882049499789
Netherlands,NO1,962.2244559427166
Austria,NO2,1396.8453121132811
Bosnia H,NO2,1846.4982244341375
Belgium,NO2,963.0188580275458
Bulgaria,NO2,2240.08831307898
Switzerland,NO2,1388.9179595370358
Czech R,NO2,1158.0830417306888
Germany,NO2,931.510345352731
Denmark,NO2,345.8270072263098
Estonia,NO2,1050.2660817285216
Spain,NO2,2278.9514818525236
Finland,NO2,1185.0284638550143
France,NO2,1439.1525896871303
Great Brit.,NO2,910.893856337943
Greece,NO2,2488.328524757815
Croatia,NO2,1654.842111197844
Hungary,NO2,1570.440783641918
Ireland,NO2,1196.8615777349285
Italy,NO2,1679.5662443342737
