Node,Period,New capacity [MW],Total capacity [MW],New capacity [kg/h],Total capacity [kg/h],Expected annual power usage [MWh],Expected annual hydrogen production [kg],Expected marginal price of hydrogen [EUR/kg]
Germany,2030-2035,0.00016465458016979453,0.0002967011729127439,0.0031362777175198957,0.0056514509126236925,1.4634003701840332,27.874292765410157,4.0745057058019025
Germany,2035-2040,2.436761111005975e-07,0.00029692715674984785,5.130023391591526e-06,0.006251098036838903,0.6600384121299802,13.895545518525898,2.512213868717746
Germany,2040-2045,0.0010828467294751172,0.0013016461157552787,0.022796773252107733,0.027403076121163765,3.1482361850385705,66.2786565271278,1.5661519435422147
Germany,2045-2050,6.001800044644144e-07,0.0012482832427888847,1.2635368515040303e-05,0.0262796472166081,2.7906196799284753,58.749887998494216,1.448940750585739
Germany,2050-2055,5.096738714073502e-05,0.0011345960497667357,0.001072997624015474,0.023886232626668124,3.3394901410310354,70.30505560065338,1.1116473895471939
Germany,2055-2060,1.6961396004879029e-06,0.0011360485132543578,3.57082021155348e-05,0.023916810805354904,3.836025423347338,80.75842996520711,1.464878905412164
Denmark,2020-2025,8.048224087179042e-05,8.048224087179042e-05,0.0014633134703961896,0.0014633134703961896,0.26093801414890194,4.744327529980035,0.0
Denmark,2025-2030,4.6260376121198356e-05,0.000126733770854824,0.0008811500213561592,0.0024139765877109333,0.4869304588346928,9.274865882565578,0.0
Denmark,2030-2035,0.0014362671861519601,0.001562992110869767,0.02735747021241829,0.029771278302281275,9.416987078962569,179.3711824564299,4.0745056326093545
Denmark,2035-2040,3223.309463590646,3223.3110265610117,67859.14660190835,67859.17950654762,13911270.86595843,292868860.33596694,2.5122138232717317
Denmark,2040-2045,8764.702766578304,11988.01371256278,184520.0582437538,252379.2360539533,51350823.31070135,1081069964.4358177,1.566151925526409
Denmark,2045-2050,8.972269790291361e-07,11988.013667311705,1.8888989032192342e-05,252379.23510129907,48274813.31329305,1016311859.2272221,1.4489407344047058
Denmark,2050-2055,1.8209340968091998e-06,11988.012232667608,3.8335454669667365e-05,252379.20489826545,48075349.59594598,1012112623.0725468,1.111647376294202
Denmark,2055-2060,2.188647688596502e-06,8764.70277101901,4.607679344413689e-05,184520.05833724234,40983126.78918518,862802669.2460037,1.4648788919020683
Estonia,2020-2025,7.43989746914062e-05,7.43989746914062e-05,0.0013527086307528401,0.0013527086307528401,0.19597070605648878,3.563103746481614,0.0
Estonia,2025-2030,5.6329477332647986e-05,0.00013071960588585847,0.001072942425383771,0.002489897254968733,0.49851908217974883,9.495601565328549,0.0
Estonia,2030-2035,0.003232808053005275,0.0033635188127529654,0.06157729624771952,0.0640670250048184,22.130716568182045,421.53745844156276,4.0811669370268895
