Node,Period,New capacity [MW],Total capacity [MW],New capacity [kg/h],Total capacity [kg/h],Expected annual power usage [MWh],Expected annual hydrogen production [kg],Expected marginal price of hydrogen [EUR/kg]
Belgium,2045-2050,4.10044449552835e-07,0.0005604949560082992,8.632514727428106e-06,0.011799893810701038,2.240986053541482,47.178653758768036,1.2601914667589917
Belgium,2050-2055,0.0003514795918170101,0.0007117078451062481,0.007399570354042318,0.014983323054868382,4.078329447718957,85.8595673203991,1.016608759513986
Belgium,2055-2060,3.2340204726562697e-06,0.0007093359063648217,6.808464152960568e-05,0.0149333875024173,4.525209945202291,95.26757779373244,1.0953817436223754
Bulgaria,2020-2025,6.0140682808182394e-05,6.0140682808182394e-05,0.001093466960148771,0.001093466960148771,0.2686875468716365,4.885228124938845,0.0
Bulgaria,2025-2030,89.98586279724402,89.98592292871213,1714.0164342332196,1714.0175795945167,788276.3046290071,15014786.754838232,0.0
Bulgaria,2030-2035,660.5013025426381,750.487225464119,12580.977191288344,14294.994770745123,5477741.721141868,104337937.5455594,2.877753296800647
Bulgaria,2035-2040,5.904783169752183e-07,750.487226083565,1.2431122462636174e-05,15799.731075443475,5769492.531598817,121463000.66523825,2.146443776895091
Bulgaria,2040-2045,1529.5299443644228,2280.0171102601535,32200.630407672063,48000.36021600323,16763914.767911218,352924521.42970985,1.4261726985979257
Bulgaria,2045-2050,252.24277917132386,2442.274026634133,5310.3742983436605,51416.2952975607,17511387.9637938,368660799.2377642,1.255561813501077
Bulgaria,2050-2055,1525.9787065880305,3307.7514306780968,32125.867507116433,69636.87222480203,28469732.181407582,599362782.7664754,1.0239508501962282
Bulgaria,2055-2060,51.562961948759515,3359.3143920365005,1085.5360410265162,70722.40825340002,28254151.283573296,594824237.5489115,1.0880145275820186
Switzerland,2020-2025,4.53490515945004e-05,4.53490515945004e-05,0.0008245282108090983,0.0008245282108090983,0.14383734775500265,2.6152245046364118,0.0
Switzerland,2025-2030,3.9670833418514476e-05,8.501054545256604e-05,0.0007556349222574186,0.0016192484848107816,0.358716158012619,6.832688724049887,0.0
Switzerland,2030-2035,0.00020624102397045636,0.0002912422305928381,0.003928400456580121,0.005547471058911202,1.6100025386988606,30.66671502283544,0.0
Switzerland,2035-2040,9.842450288923949e-06,0.00030107534045316,0.00020720947976682,0.006338428220066527,1.7402904230305194,36.63769311643199,0.0
Switzerland,2040-2045,0.0006083612741318992,0.0008640829039210778,0.01280760577119788,0.018191219029917428,5.52030739124837,116.21699771049201,0.0
Switzerland,2045-2050,2.950058387579069e-07,0.0008247070834482633,6.210649237008567e-06,0.017362254388384492,3.3070318786487016,69.6217237610253,0.0
