Between node,And node,Period,Pipeline capacity built [kg],Pipeline total capacity [kg],Discounted cost of (newly) built pipeline [EUR],Expected hydrogen transmission [tons]
Germany,Austria,2045-2050,47920.16621875609,247536.3592547731,0.0,846214.278413788
Germany,Austria,2050-2055,34070.10370642299,281606.4629611961,0.0,1042526.7096052988
Germany,Austria,2055-2060,18668.33447251917,300274.79743371526,0.0,1035965.4202253807
Hungary,Austria,2020-2025,0.019818033325419412,0.019818033325419412,43.64272558174931,0.05703825319868072
Hungary,Austria,2025-2030,0.002057649711782435,0.021875678890499923,3.5503916162962597,0.06333574663023157
Hungary,Austria,2030-2035,0.005953253005340246,0.027828927749277328,7.680304515730285,0.08055353414755599
Hungary,Austria,2035-2040,0.0076254853298678826,0.035454408932643365,7.236495113267359,0.10302618875165524
Hungary,Austria,2040-2045,0.009295040105846688,0.04474944489198737,6.3365810870028705,0.12730632496013458
Hungary,Austria,2045-2050,0.012103255937057314,0.056852696682393504,5.716391550750944,0.16066253569115332
Hungary,Austria,2050-2055,0.0053175371488530946,0.06217022968463616,1.63897284240696,0.18081179037355927
Hungary,Austria,2055-2060,5.879126125049255e-05,0.062229016799380074,0.010562320709284945,0.1876545982725133
Italy,Austria,2020-2025,0.00543043204073123,0.00543043204073123,42.95043095513749,0.015063787482578687
Italy,Austria,2025-2030,0.0005095807540582816,0.005940008648193098,3.15790938908153,0.016292128811928923
Italy,Austria,2030-2035,0.0016076897533634173,0.0075476942549617,7.449174969589138,0.020753635194219994
Italy,Austria,2035-2040,0.0021325343368942904,0.009680224445335318,7.2683971203074496,0.02705446875070971
Italy,Austria,2040-2045,0.0025881632795132646,0.012268383578238812,6.336905514490953,0.03371366638690219
Italy,Austria,2045-2050,0.003219062537995961,0.015487441969589413,5.460482219552294,0.04164468046854508
Italy,Austria,2050-2055,0.0016129211469417815,0.017100358969928328,1.7854849444507646,0.048303860720702356
Italy,Austria,2055-2060,1.6465411120938744e-05,0.017116820234470094,0.010624316099352327,0.05049525789603876
Slovenia,Austria,2020-2025,0.015190765666685993,0.015190765666685993,43.66125026638651,0.04368291450615702
Slovenia,Austria,2025-2030,0.0024086249269779903,0.017599386447139556,5.424243593473602,0.06909909842657244
Slovenia,Austria,2030-2035,0.01922021662654845,0.036819598927001505,32.36291037167128,0.13940322206690658
Slovenia,Austria,2035-2040,2.646679945442326e-05,0.036846061579929174,0.03278139284938763,0.13333419967714663
Slovenia,Austria,2040-2045,8.496535032799026e-05,0.03693102278371262,0.07559808139515689,0.09837276654127247
Slovenia,Austria,2045-2050,0.0732450472974665,0.11017606593456121,45.150566928761705,0.5246562662820935
Slovenia,Austria,2050-2055,3.421147084691776e-05,0.11021027325887184,0.013762526347520426,0.32372491919719315
Slovenia,Austria,2055-2060,1.5201879901350597e-05,0.11022547099210607,0.0035645857163137187,0.41362807339285446
Slovakia,Austria,2020-2025,0.0767734036004619,0.0767734036004619,43.656125745989975,0.22151067027226684
Slovakia,Austria,2025-2030,0.007743519077063535,0.084516918530979,3.450057031994514,0.24442318544078537
Slovakia,Austria,2030-2035,1358.8933091867061,1358.9778260729836,452681.2913872313,10134.728162763038
Slovakia,Austria,2035-2040,1.0306979207348696e-05,1358.9778363698842,0.0025256622277625364,0.3012551907535773
Slovakia,Austria,2040-2045,9.675023596602595e-06,1358.9778460785105,0.0017030948972284216,1621.8142737093208
Slovakia,Austria,2045-2050,6.110653589935723e-05,1358.977907191387,0.0074523029613294085,2182.8752568772534
Slovakia,Austria,2050-2055,8.08104114329893e-05,1358.9779880085396,0.006431490445217839,829.9285645358261
Slovakia,Austria,2055-2060,2.7981741792105723e-05,1358.9780159613076,0.0012980888024191385,4232.625333382173
Croatia,BosniaH,2020-2025,0.014481935456172264,0.014481935456172264,43.72010200875433,0.04185270793829791
Croatia,BosniaH,2025-2030,0.002523194491092355,0.0170051258005247,5.968411952923951,0.03682963662510982
Croatia,BosniaH,2030-2035,0.03720044475305666,0.05420556640701257,65.79236226590535,0.1287197828342162
Croatia,BosniaH,2035-2040,0.02196481846164632,0.07617038072219712,28.575355986671333,0.0414887856966498
Croatia,BosniaH,2040-2045,2.2488734060318605e-05,0.07619286530977946,0.02101706103823839,0.054463263676809835
Croatia,BosniaH,2045-2050,1.6469870508188714e-05,0.07620933103361299,0.010663829292025905,0.1266193606449402
Croatia,BosniaH,2050-2055,0.8017314019202616,0.8779407288073783,338.7609694472156,0.0779257839590153
Croatia,BosniaH,2055-2060,1.4355223816872932e-05,0.8779550798845166,0.003535572839508999,0.09231141938391929
Italy,BosniaH,2020-2025,0.024529944827971852,0.024529944827971852,43.11388910842408,0.06863540417201423
Italy,BosniaH,2025-2030,0.2930612820007709,0.31759122268207773,403.5827346025439,0.03886493425862528
Italy,BosniaH,2030-2035,639.2928099503115,639.6104011684264,658253.5921024769,0.2324622387457126
Italy,BosniaH,2035-2040,66.95815742253714,706.5685585868116,50714.668996955515,0.07094921789765117
Italy,BosniaH,2040-2045,1.9119049356529142e-05,706.5685777627508,0.010402538721676785,0.14180930472680295
Italy,BosniaH,2045-2050,0.44891007613545436,707.0174877734084,169.21872681062254,0.1338580229575873
Italy,BosniaH,2050-2055,3034.7107830455207,3741.728270808343,746531.0066857287,0.8617411827295487
Italy,BosniaH,2055-2060,0.00010023192093717612,3741.728371050109,0.014372156725124794,0.1270978961685102
Serbia,BosniaH,2020-2025,0.021987761852829624,0.021987761852829624,43.874283896515145,0.06376766855020059
Serbia,BosniaH,2025-2030,0.2915800231208277,0.3135677808270585,455.86923825090537,2.71420171463519
Serbia,BosniaH,2030-2035,3.6097492636494418e-06,0.3135713864297222,0.00421967343587271,0.8804349417699038
Serbia,BosniaH,2035-2040,6.95463207203559e-06,0.31357833691526465,0.00598015785321977,0.29028700691043435
Serbia,BosniaH,2040-2045,3.9112366148871755e-05,0.3136174451347935,0.024159921799997885,0.14255606750049224
Serbia,BosniaH,2045-2050,6.867830136143682e-05,0.3136861192895436,0.029391178629511756,1.702570030385369
Serbia,BosniaH,2050-2055,0.03674572291216896,0.35043183805502703,10.262324099747833,1.0120635054556932
Serbia,BosniaH,2055-2060,3.4716852117804e-05,0.35046655076065886,0.005651511529175247,0.13758925086455637
Germany,Belgium,2020-2025,0.0004019551332910291,0.0004019551332910291,0.0,0.00020882342858931526
Germany,Belgium,2025-2030,1028.4257111051709,1028.4261130603043,0.0,6611.0011782283045
Germany,Belgium,2030-2035,353420.01282836497,354448.4389414253,0.0,1818626.7592332468
