Between node,And node,Period,Pipeline capacity built [kg],Pipeline total capacity [kg],Discounted cost of (newly) built pipeline [EUR],Expected hydrogen transmission [tons]
Slovenia,Austria,2050-2055,0.0024227924452087444,2.000123550899356,0.9746364022452677,0.8854415518693376
Slovenia,Austria,2055-2060,0.0023924400971189314,2.002515947075417,0.56098705243479,0.75465024499413
Slovakia,Austria,2020-2025,1.0324712341839282,1.0324712341839282,587.10037480193,2.8292430510813147
Slovakia,Austria,2025-2030,0.03274895193853065,1.0652200982805267,14.591008403484688,2.5393289428136385
Slovakia,Austria,2030-2035,9262.703800707108,9263.769020717546,3085637.9157176362,1.8279503605284242
Slovakia,Austria,2035-2040,2416.8167810596447,11680.585801689349,592226.173406161,2.090232354530742
Slovakia,Austria,2040-2045,44272.425787093176,55953.01158869469,7793277.3696179185,2.795848407743195
Slovakia,Austria,2045-2050,8300.774071898517,64253.78566050535,1012328.4242330351,5.961993898674855
Slovakia,Austria,2050-2055,11658.238509528848,75912.02416994638,927848.8780406873,4.170278754627359
Slovakia,Austria,2055-2060,6936.134038243356,82848.1582081019,321771.1747187265,3.863631810133538
Croatia,BosniaH,2020-2025,0.19375365973692202,0.19375365973692202,584.9307776508118,0.5098551695959633
Croatia,BosniaH,2025-2030,0.021775841981185408,0.21552945779707872,51.508988317909676,0.3463355106771319
Croatia,BosniaH,2030-2035,0.04402942576923219,0.25955883964529475,77.87003488260959,0.6644059220683958
Croatia,BosniaH,2035-2040,0.09394676880487367,0.35350556452913723,122.22101298421383,1.18273971579046
Croatia,BosniaH,2040-2045,0.13735882549816172,0.4908643461064351,128.37000125896378,0.8114157920380802
Croatia,BosniaH,2045-2050,0.47125495308606025,0.9621192552712888,305.1257974513422,0.9797301792141737
Croatia,BosniaH,2050-2055,0.06144200878961921,1.0235612201400723,25.96150582664326,1.067738047513777
Croatia,BosniaH,2055-2060,0.02548587571804286,1.0490470519370456,6.276960298863715,0.8764698654874905
Italy,BosniaH,2020-2025,0.3292332659245826,0.3292332659245826,578.6611677043205,0.8475614267104471
Italy,BosniaH,2025-2030,1.1980031313545387,1.5272363094370627,1649.8029917619874,0.429338915770613
Italy,BosniaH,2030-2035,0.16934040979965984,1.6965766313946888,174.36287614027037,11.918767618441073
Italy,BosniaH,2035-2040,0.006468834551125712,1.7030453781037886,4.899549445277715,13.047080923167819
Italy,BosniaH,2040-2045,0.00016167272323428224,1.7032069629851203,0.08796497840041505,5.306117697090843
Italy,BosniaH,2045-2050,0.0010667322389834638,1.7042736073820115,0.40210964494848844,2.197867422247675
Italy,BosniaH,2050-2055,0.0005306037058643733,1.704804123245925,0.13052713981942812,3.1189455659133447
Italy,BosniaH,2055-2060,0.001351149600927627,1.7061551850047227,0.19374001457872067,2.3221445525447604
Serbia,BosniaH,2020-2025,0.2950371429436227,0.2950371429436227,588.7158254744959,0.7869066312700616
Serbia,BosniaH,2025-2030,1.2572592508408766,1.5522963059424026,1965.6552970613793,12.561780641399725
Serbia,BosniaH,2030-2035,0.14829318994013366,1.7005894080406088,173.34966741667222,0.5484188281820631
Serbia,BosniaH,2035-2040,0.10466380677354076,1.805253126972093,89.99844701223228,0.6089171842477336
Serbia,BosniaH,2040-2045,0.0002660378057821934,1.8055190769358977,0.16433300299645068,3.0730730943136573
Serbia,BosniaH,2045-2050,0.24737791484232174,2.0528969039360168,105.86645767289423,9.726028506484568
Serbia,BosniaH,2050-2055,0.0005965722790887378,2.053493388373085,0.1666103587502525,9.134159632922103
Serbia,BosniaH,2055-2060,0.46211395591329135,2.515607256444306,75.2269341924986,9.923513328021086
Germany,Belgium,2020-2025,0.005380470311937007,0.005380470311937007,0.0,0.0027059696954827967
Germany,Belgium,2025-2030,1028.5373619257632,1028.5427423960753,0.0,6473.73857076554
Germany,Belgium,2030-2035,978765.0341515585,979793.5768939547,0.0,611629.1435828385
Germany,Belgium,2035-2040,308415.5051373035,1288209.0820312581,0.0,484809.1433496393
Germany,Belgium,2040-2045,1569580.3545682973,2857789.4365995554,0.0,330987.65086046053
Germany,Belgium,2045-2050,260873.32424030825,3118662.7608398637,0.0,434534.7550464909
Germany,Belgium,2050-2055,1008354.989868064,4127017.7507079276,0.0,396064.5609732028
Germany,Belgium,2055-2060,-4.656612873077393e-10,4127017.7507079276,-0.0,528884.3308372649
France,Belgium,2020-2025,0.006219633772555043,0.006219633772555043,0.0,0.00014731003239934422
France,Belgium,2025-2030,1028.5418335922923,1028.548053226065,0.0,0.0
France,Belgium,2030-2035,892990.9369283203,894019.4849815464,0.0,52299.28200778196
France,Belgium,2035-2040,247690.33921638713,1141709.8241979335,0.0,102061.8492969469
France,Belgium,2040-2045,1988372.2658007378,3130082.0899986713,0.0,3170312.187461901
France,Belgium,2045-2050,88436.6932033957,3218518.783202067,0.0,2969646.570056576
France,Belgium,2050-2055,1079179.2563038906,4297698.039505958,0.0,6125313.575859774
France,Belgium,2055-2060,-4.656612873077393e-10,4297698.039505958,-0.0,6196539.733051568
GreatBrit.,Belgium,2020-2025,0.0039000073400256574,0.0039000073400256574,0.0,0.002353818142567469
GreatBrit.,Belgium,2025-2030,685.6330667660894,685.6369667734294,0.0,0.0
GreatBrit.,Belgium,2030-2035,1054558.5878142973,1055244.2247810708,0.0,757831.9139896618
GreatBrit.,Belgium,2035-2040,321712.9386564472,1376957.163437518,0.0,1331535.0538403175
