Between node,And node,Period,Pipeline capacity built [kg],Pipeline total capacity [kg],Discounted cost of (newly) built pipeline [EUR],Expected hydrogen transmission [tons]
Slovakia,Austria,2025-2030,0.04632633630951906,1.0606599901398779,20.6402929676527,2.354099637187578
Slovakia,Austria,2030-2035,9451.029291250457,9452.089951120199,3148373.8389015687,1.7181463427893717
Slovakia,Austria,2035-2040,2991.2703965646183,12443.3603475643,732992.5191118054,1.689845430937588
Slovakia,Austria,2040-2045,38107.80280027642,50551.16314772071,6708118.470794005,2.4093647430679574
Slovakia,Austria,2045-2050,1587.864787111747,52139.02793471187,193649.48906076077,2.6555779009084253
Slovakia,Austria,2050-2055,27531.55621022901,79670.58414482264,2191164.944815276,2.985278767866377
Slovakia,Austria,2055-2060,0.0018513450773050338,79670.58599604589,0.08588494355063551,3.5148992457230204
Croatia,BosniaH,2020-2025,0.1931767970685972,0.1931767970685972,583.189263556889,0.5032997575534149
Croatia,BosniaH,2025-2030,0.02011345226440975,0.21329018908526814,47.57674025259058,0.3508598558630491
Croatia,BosniaH,2030-2035,0.046427061211618006,0.2597171900490741,82.11047073369065,0.679245598462973
Croatia,BosniaH,2035-2040,0.10645672398720037,0.3661738537884911,138.49596755925361,0.5033671847349882
Croatia,BosniaH,2040-2045,0.6408728564056687,1.007046649946494,598.9338441506433,0.5645020472852247
Croatia,BosniaH,2045-2050,0.000246995674337411,1.0072935853730067,0.15992352251302808,0.8708117008871374
Croatia,BosniaH,2050-2055,0.0006440301168992425,1.0079375552421963,0.2721263832643166,0.8575365753990682
Croatia,BosniaH,2055-2060,0.0002162234063152806,1.0081537184007385,0.05325403577030077,1.0786005255493984
Italy,BosniaH,2020-2025,0.3281572424902219,0.3281572424902219,576.7699463684212,0.831799813334668
Italy,BosniaH,2025-2030,0.34224845435660944,0.6704055763512975,471.3197396112225,0.44146429930071224
Italy,BosniaH,2030-2035,0.2609059574609239,0.9313114133167304,268.6441659072276,6.290202987563238
Italy,BosniaH,2035-2040,0.00022848968249544022,0.9315397825036877,0.17305999840843042,2.2442600005357245
Italy,BosniaH,2040-2045,0.5304738863153008,1.4620135483235601,288.6270671898652,1.8710730101647082
Italy,BosniaH,2045-2050,0.00025482460080780266,1.4622682524287702,0.09605731036366873,2.6299088612624137
