Between node,And node,Period,Pipeline capacity built [kg],Pipeline total capacity [kg],Discounted cost of (newly) built pipeline [EUR],Expected hydrogen transmission [tons]
Serbia,Bulgaria,2045-2050,6.562314334145945e-05,1.6189648201910605,0.04772775658372041,4.193123564692529
Serbia,Bulgaria,2050-2055,0.00024809667558979857,1.619212842159914,0.11775420100688705,5.281852075216966
Serbia,Bulgaria,2055-2060,0.0002310093203351012,1.6194437767491343,0.06391022043177434,5.485079536532207
Germany,Switzerland,2020-2025,0.00045737683125495615,0.00045737683125495615,0.0,0.0
Germany,Switzerland,2025-2030,0.0006853565986740737,0.0011427334299290298,0.0,0.0
Germany,Switzerland,2030-2035,0.003929980923661362,0.005072714353590392,0.0,0.0
Germany,Switzerland,2035-2040,0.0005960841362728786,0.005668798489863271,0.0,0.0
Germany,Switzerland,2040-2045,0.011925159939629427,0.017593958429492698,0.0,0.0
Germany,Switzerland,2045-2050,0.0,0.017593958429492698,0.0,0.0
Germany,Switzerland,2050-2055,0.0012253887114551387,0.018819347140947837,0.0,0.0
Germany,Switzerland,2055-2060,0.0,0.018819347140947837,0.0,0.0
France,Switzerland,2020-2025,0.07940668487235775,0.07940668487235775,357.944144237661,0.22477982579334962
France,Switzerland,2025-2030,0.0060381019022347,0.08544471205714743,21.326134290409033,0.23443506735111555
France,Switzerland,2030-2035,0.023029806428599257,0.10847444376843197,60.81647905678036,0.2948301096514541
France,Switzerland,2035-2040,0.030272374786936146,0.13874674384024804,58.804987315482514,0.3786511007306599
France,Switzerland,2040-2045,0.04229988470055708,0.1810465538049214,59.02687592054439,0.522422644030002
France,Switzerland,2045-2050,0.04156920559022347,0.22261568469575577,40.18818218833532,0.5848917034858695
France,Switzerland,2050-2055,0.024780347667351526,0.24739595765186823,15.634194330242645,0.7219055704184024
France,Switzerland,2055-2060,0.00023502044966520328,0.24763090339150473,0.08642892504951367,0.7230615259347815
Italy,Switzerland,2020-2025,0.04981350608183703,0.04981350608183703,353.29942738047174,0.1370928514562037
Italy,Switzerland,2025-2030,0.004450396226006324,0.054263827596783616,24.731360416220937,0.14708970945629316
Italy,Switzerland,2030-2035,0.014554386353397406,0.06881813922411686,60.47313887465748,0.18464401090668547
Italy,Switzerland,2035-2040,0.019184663322282653,0.08800272783792136,58.63534402190893,0.23915260452794665
Italy,Switzerland,2040-2045,0.02645521348892819,0.11445786662276212,58.0844005423273,0.3266809130190434
Italy,Switzerland,2045-2050,0.027121782146310343,0.14157957405193078,41.25556004755161,0.3728588932503216
Italy,Switzerland,2050-2055,0.015363363420611696,0.15694286275489194,15.250779465761028,0.45452397496542707
Italy,Switzerland,2055-2060,0.00015100557871596437,0.15709379361294531,0.0873743739894842,0.4591751044224834
Germany,CzechR,2020-2025,0.0004829967794491366,0.0004829967794491366,0.0,0.0
Germany,CzechR,2025-2030,0.0011626720297679694,0.001645668809217106,0.0,0.0
Germany,CzechR,2030-2035,243601.2763923197,243601.27803798852,0.0,0.0
Germany,CzechR,2035-2040,23383.389159344195,266984.6671973327,0.0,0.0
Germany,CzechR,2040-2045,556090.1557660067,823074.8229633394,0.0,0.0
Germany,CzechR,2045-2050,63484.01532150316,886558.8382848426,0.0,0.0
Germany,CzechR,2050-2055,305026.6501186198,1191585.4884034623,0.0,0.0
