Node,Period,New capacity [MW],Total capacity [MW],New capacity [kg/h],Total capacity [kg/h],Expected annual power usage [MWh],Expected annual hydrogen production [kg],Expected marginal price of hydrogen [EUR/kg]
Germany,2020-2025,5.837894348941632e-06,5.837894348941632e-06,0.00010614353361712059,0.00010614353361712059,0.019325555327858877,0.3513737332337978,0.0
Germany,2025-2030,8.845236275934025e-06,1.4682093975942678e-05,0.0001684806909701719,0.00027965893287509863,0.07703828727401034,1.4673959480763874,3.0227460802888673
Germany,2030-2035,0.00032332621475317854,0.0003380072720839335,0.00615859456672721,0.006438233753979686,2.377969823122593,45.2946632975732,2.871675848285828
Germany,2035-2040,5.33413046346856e-08,0.00033805957673537954,1.1229748344144338e-06,0.007117043720744833,2.0021380757897482,42.150275279784175,2.170886643749137
Germany,2040-2045,3.670118935199484e-06,0.00033589128343347314,7.726566179367336e-05,0.007071395440704698,1.999671998849904,42.098357870524296,1.450578567076559
Germany,2045-2050,3.746432696113424e-08,0.0003270835109437421,7.887226728659841e-07,0.006885968651447203,1.450311242628294,30.53286826585882,1.2601914678918456
Germany,2050-2055,9.323724397859246e-05,9.6994539284602e-05,0.001962889346917736,0.0020419903007284634,0.5736008912210177,12.07580823623195,1.050828822782686
Germany,2055-2060,1.192254747712336e-07,9.706042454628462e-05,2.5100099951838655e-06,0.00204337735886915,0.6164556775645856,12.978014264517592,1.0611616821260452
Denmark,2020-2025,5.846438835657752e-06,5.846438835657752e-06,0.00010629888792105006,0.00010629888792105006,0.01947097383531213,0.3540177060965842,0.0
Denmark,2025-2030,4.559398134729354e-06,1.0405318647048644e-05,8.68456787567496e-05,0.0001981965456580694,0.04687546912418185,0.8928660785558448,0.0
Denmark,2030-2035,5.965513706053486e-05,7.00599373842887e-05,0.0011362883249625688,0.0013344749977959752,0.43674814647955634,8.319012313896312,2.871675845498425
Denmark,2035-2040,1.4015480126812847e-05,8.407489918916559e-05,0.00029506273951184945,0.001769997877666644,0.4675971624887971,9.844150789237833,2.1708866414831682
Denmark,2040-2045,3.425348892702903e-05,0.00011248156071569073,0.0007211260826742955,0.0023680328571724363,0.5805071952450629,12.221204110422377,1.4505785663615662
Denmark,2045-2050,4.5928665589777225e-07,0.00010838144912366651,9.669192755742574e-06,0.0022817147183929794,0.49705062191313504,10.464223619223896,1.2601914672434198
Denmark,2050-2055,8.182461591350003e-05,0.00013055092770784848,0.0017226234929157904,0.002748440583323126,0.8212100149610652,17.28863189391716,1.0508288222987014
Denmark,2055-2060,8.739735301578729e-08,0.00011662284513427256,1.8399442740165746e-06,0.0024552177923004752,0.7514425035940668,15.819842180927722,1.0611616816117184
Estonia,2020-2025,5.564377366640755e-06,5.564377366640755e-06,0.00010117049757528646,0.00010117049757528646,0.01657987684866644,0.3014523063393898,0.0
Estonia,2025-2030,4.411578024558523e-06,9.975437067733797e-06,8.403005761063853e-05,0.00019000832509969136,0.04273567962767803,0.8140129452891054,0.0
Estonia,2030-2035,2.758799999539756e-05,3.756291874103409e-05,0.0005254857141980487,0.0007154841664958873,0.1999836717616368,3.809212795459749,2.8774758774742892
Estonia,2035-2040,5.163987486604846e-07,3.807879916197416e-05,1.0871552603378624e-05,0.0008016589297257719,0.19375834336219283,4.079123018151428,2.175416500847324
Estonia,2040-2045,3.0022334810850138e-05,6.253636781000623e-05,0.0006320491539126346,0.001316555111789605,0.26770116063652033,5.63581390813727,1.4542085172643702
Estonia,2045-2050,8.270310772617815e-06,6.639510042467424e-05,0.00017411180573932242,0.0013977915878878788,0.2718212135396073,5.7225518639917325,1.263078232179737
Estonia,2050-2055,6.116395174886136e-05,9.997105230922522e-05,0.0012876621420812918,0.0021046537328257946,0.5776259689026035,12.160546713739022,1.0530369251073206
