Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
Poland,Hydrorun-of-the-river,2045-2050,5180.017222857177
Poland,Hydrorun-of-the-river,2050-2055,5758.388113239783
Poland,Hydrorun-of-the-river,2055-2060,2093.6909841448687
Portugal,Hydrorun-of-the-river,2020-2025,0.0003376002676970285
Portugal,Hydrorun-of-the-river,2025-2030,0.003144618062346376
Portugal,Hydrorun-of-the-river,2030-2035,875.6796425402962
Portugal,Hydrorun-of-the-river,2035-2040,0.01642452997680809
Portugal,Hydrorun-of-the-river,2040-2045,0.031628581864226984
Portugal,Hydrorun-of-the-river,2045-2050,0.06777607364454653
Portugal,Hydrorun-of-the-river,2050-2055,39.213731241307975
Portugal,Hydrorun-of-the-river,2055-2060,20.835479371522556
Romania,Hydrorun-of-the-river,2020-2025,0.0002096384579649126
Romania,Hydrorun-of-the-river,2025-2030,0.0007070062523554222
Romania,Hydrorun-of-the-river,2030-2035,4006.113162919203
Romania,Hydrorun-of-the-river,2035-2040,3118.7673747670497
Romania,Hydrorun-of-the-river,2040-2045,5734.362647157921
Romania,Hydrorun-of-the-river,2045-2050,5171.97958152695
Romania,Hydrorun-of-the-river,2050-2055,6345.193644997342
Romania,Hydrorun-of-the-river,2055-2060,1530.0878879169725
Sweden,Hydrorun-of-the-river,2020-2025,0.0003206706474906569
Sweden,Hydrorun-of-the-river,2025-2030,4.665267313516118
Sweden,Hydrorun-of-the-river,2030-2035,2330.2515210053366
Sweden,Hydrorun-of-the-river,2035-2040,8508.743834243573
Sweden,Hydrorun-of-the-river,2040-2045,10508.995044595826
Sweden,Hydrorun-of-the-river,2045-2050,9648.64148505492
Sweden,Hydrorun-of-the-river,2050-2055,11018.322354453898
Sweden,Hydrorun-of-the-river,2055-2060,11337.326002304111
Slovenia,Hydrorun-of-the-river,2020-2025,0.0002251787129439215
Slovenia,Hydrorun-of-the-river,2025-2030,36.97919593228146
Slovenia,Hydrorun-of-the-river,2030-2035,2156.0394690691364
Slovenia,Hydrorun-of-the-river,2035-2040,1326.445666874381
Slovenia,Hydrorun-of-the-river,2040-2045,5985.503041209376
Slovenia,Hydrorun-of-the-river,2045-2050,8597.10376731283
Slovenia,Hydrorun-of-the-river,2050-2055,10627.343334522526
Slovenia,Hydrorun-of-the-river,2055-2060,7072.559952172295
NO1,Hydrorun-of-the-river,2020-2025,92.04790121112183
NO1,Hydrorun-of-the-river,2025-2030,0.00016352096755784356
NO1,Hydrorun-of-the-river,2030-2035,745.7184781660224
NO1,Hydrorun-of-the-river,2035-2040,0.0026950235759754084
NO1,Hydrorun-of-the-river,2040-2045,1706.336550078568
NO1,Hydrorun-of-the-river,2045-2050,929.375629633448
NO1,Hydrorun-of-the-river,2050-2055,3024.5658143739697
NO1,Hydrorun-of-the-river,2055-2060,2633.007659052458
NO2,Hydrorun-of-the-river,2020-2025,771.278758116334
NO2,Hydrorun-of-the-river,2025-2030,749.3447867409204
NO2,Hydrorun-of-the-river,2030-2035,5091.600984001799
NO2,Hydrorun-of-the-river,2035-2040,8563.786921950681
NO2,Hydrorun-of-the-river,2040-2045,7808.826959809138
NO2,Hydrorun-of-the-river,2045-2050,7784.190905364484
NO2,Hydrorun-of-the-river,2050-2055,11125.253035318969
NO2,Hydrorun-of-the-river,2055-2060,9006.610004288705
NO3,Hydrorun-of-the-river,2020-2025,0.00952869867371627
NO3,Hydrorun-of-the-river,2025-2030,6.155301084550429
NO3,Hydrorun-of-the-river,2030-2035,105.07853408795896
NO3,Hydrorun-of-the-river,2035-2040,124.90951792520991
NO3,Hydrorun-of-the-river,2040-2045,0.006413797869100012
NO3,Hydrorun-of-the-river,2045-2050,0.02393391924486693
NO3,Hydrorun-of-the-river,2050-2055,0.03568017313571122
NO3,Hydrorun-of-the-river,2055-2060,0.02536089394255981
NO4,Hydrorun-of-the-river,2020-2025,0.00925859377556734
NO4,Hydrorun-of-the-river,2025-2030,0.00829551212077297
NO4,Hydrorun-of-the-river,2030-2035,0.0017164247635529032
NO4,Hydrorun-of-the-river,2035-2040,1134.684691426421
NO4,Hydrorun-of-the-river,2040-2045,1414.196963341844
NO4,Hydrorun-of-the-river,2045-2050,0.021725583493848382
NO4,Hydrorun-of-the-river,2050-2055,0.03316683787778967
NO4,Hydrorun-of-the-river,2055-2060,0.03107326565388707
NO5,Hydrorun-of-the-river,2020-2025,0.008552721380027916
NO5,Hydrorun-of-the-river,2025-2030,12.261060662610038
NO5,Hydrorun-of-the-river,2030-2035,549.8106651478253
NO5,Hydrorun-of-the-river,2035-2040,0.0046211101143808974
NO5,Hydrorun-of-the-river,2040-2045,612.3477676218678
NO5,Hydrorun-of-the-river,2045-2050,270.7618491472436
NO5,Hydrorun-of-the-river,2050-2055,1344.0551788299165
