Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
NO2,Hydrorun-of-the-river,2040-2045,2741.954032473973
NO2,Hydrorun-of-the-river,2045-2050,1840.0122574418588
NO2,Hydrorun-of-the-river,2050-2055,291.5537422501379
NO2,Hydrorun-of-the-river,2055-2060,676.2213370289896
NO3,Hydrorun-of-the-river,2020-2025,0.018623928418799156
NO3,Hydrorun-of-the-river,2025-2030,0.001146571621937291
NO3,Hydrorun-of-the-river,2030-2035,498.01256283674593
NO3,Hydrorun-of-the-river,2035-2040,0.04632214827245814
NO3,Hydrorun-of-the-river,2040-2045,0.10107142828061962
NO3,Hydrorun-of-the-river,2045-2050,0.13572397175145098
NO3,Hydrorun-of-the-river,2050-2055,0.2024863760871301
NO3,Hydrorun-of-the-river,2055-2060,0.2164177996834235
NO4,Hydrorun-of-the-river,2020-2025,0.03830252505434952
NO4,Hydrorun-of-the-river,2025-2030,111.17690366709552
NO4,Hydrorun-of-the-river,2030-2035,378.7334367167939
NO4,Hydrorun-of-the-river,2035-2040,0.07894408866332431
NO4,Hydrorun-of-the-river,2040-2045,0.16010709385208663
NO4,Hydrorun-of-the-river,2045-2050,0.16576412802611626
NO4,Hydrorun-of-the-river,2050-2055,0.25771788067275275
NO4,Hydrorun-of-the-river,2055-2060,0.3058965128737674
NO5,Hydrorun-of-the-river,2020-2025,0.037568208206850265
NO5,Hydrorun-of-the-river,2025-2030,260.5048451950023
NO5,Hydrorun-of-the-river,2030-2035,818.5240540161052
NO5,Hydrorun-of-the-river,2035-2040,1048.2499703991332
NO5,Hydrorun-of-the-river,2040-2045,0.1479889603285571
NO5,Hydrorun-of-the-river,2045-2050,0.15426851580073578
NO5,Hydrorun-of-the-river,2050-2055,0.2262037036917303
NO5,Hydrorun-of-the-river,2055-2060,0.2946841402747724
GreatBrit.,Hydrorun-of-the-river,2020-2025,3966.094675363276
GreatBrit.,Hydrorun-of-the-river,2025-2030,3756.0751784618787
GreatBrit.,Hydrorun-of-the-river,2030-2035,4716.534702771971
GreatBrit.,Hydrorun-of-the-river,2035-2040,2451.7583424899635
GreatBrit.,Hydrorun-of-the-river,2040-2045,3727.79889172634
GreatBrit.,Hydrorun-of-the-river,2045-2050,4683.904172971281
GreatBrit.,Hydrorun-of-the-river,2050-2055,3712.894253777669
GreatBrit.,Hydrorun-of-the-river,2055-2060,3812.549860733404
Croatia,Hydrorun-of-the-river,2020-2025,0.0009415794661444224
Croatia,Hydrorun-of-the-river,2025-2030,0.0007126646923135357
Croatia,Hydrorun-of-the-river,2030-2035,0.006195115773126675
Croatia,Hydrorun-of-the-river,2035-2040,0.00464776201599487
Croatia,Hydrorun-of-the-river,2040-2045,0.02288087063801683
Croatia,Hydrorun-of-the-river,2045-2050,0.03308085745986671
Croatia,Hydrorun-of-the-river,2050-2055,0.06750118088224517
Croatia,Hydrorun-of-the-river,2055-2060,0.05825803929407578
Lithuania,Hydrorun-of-the-river,2020-2025,0.0008501151135869511
