BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInvCapMax_MW,transmissionInstalledCap_MW,transmissionInstalledCapMax_MW,DiscountedInvestmentCost_Euro,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
GreatBrit.,Belgium,2020-2025,0.0,20000.0,1000.0,1000.0,0.0,4517.1714811264965,135.51514443379548
GreatBrit.,Belgium,2025-2030,0.0,20000.0,1000.0,1000.0,0.0,3318.5421549995453,99.55626464998673
GreatBrit.,Belgium,2030-2035,0.0,20000.0,1000.0,1000.0,0.0,4347.424234890578,130.42272704671734
GreatBrit.,Belgium,2035-2040,0.0,20000.0,1000.0,1000.0,0.0,4187.10400451701,125.61312013551016
GreatBrit.,Belgium,2040-2045,0.0,20000.0,1000.0,1000.0,0.0,5352.925790330695,160.5877737099209
GreatBrit.,Belgium,2045-2050,0.0,20000.0,1000.0,1000.0,0.0,4609.360782832044,138.2808234849612
GreatBrit.,Belgium,2050-2055,0.0,20000.0,1000.0,1000.0,0.0,5619.0890780408845,168.57267234122693
GreatBrit.,Belgium,2055-2060,0.0,20000.0,1000.0,1000.0,0.0,5469.554921855712,164.0866476556713
Luxemb.,Belgium,2020-2025,0.0,20000.0,680.0,680.0,0.0,1825.6082115968543,54.76824634790561
Luxemb.,Belgium,2025-2030,499.999994736868,20000.0,1179.999994736868,1180.0,0.0,8208.844391034489,246.26533173103462
Luxemb.,Belgium,2030-2035,499.99997069784,20000.0,1679.9999651735357,1680.0,0.0,9803.207845807428,294.096235374223
Luxemb.,Belgium,2035-2040,3.261042782450767e-07,20000.0,1679.999965644219,1680.0,0.0,9607.475650917351,288.22426952752096
Luxemb.,Belgium,2040-2045,5.300965211768803e-07,20000.0,1679.99996629868,1680.0,0.0,10172.280459362315,305.16841378086906
Luxemb.,Belgium,2045-2050,2.777358903026296e-07,20000.0,1679.9999665249147,1680.0,0.0,2599.6454404674673,77.98936321402435
Luxemb.,Belgium,2050-2055,5.527475348966597e-07,20000.0,1679.9999671541002,1680.0,0.0,3204.5595966188384,96.13678789856534
Luxemb.,Belgium,2055-2060,3.2878607744480717e-05,20000.0,1680.0,1680.0,0.0,3049.541502889873,91.48624508669683
Netherlands,Belgium,2020-2025,0.0,20000.0,2400.0,2400.0,0.0,3577.2681393934795,107.31804418180447
Netherlands,Belgium,2025-2030,0.0,20000.0,2400.0,2400.0,0.0,6108.591877118458,183.25775631355415
Netherlands,Belgium,2030-2035,1549.9998974382302,20000.0,3949.99989743823,3950.0,0.0,6381.101021589071,191.43303064767179
Netherlands,Belgium,2035-2040,1.2770613004020491e-05,20000.0,3949.9999101979092,3950.0,0.0,6775.069928065216,203.25209784195613
Netherlands,Belgium,2040-2045,2.311800550096666e-06,20000.0,3949.999912498775,3950.0,0.0,7082.169907922704,212.4650972376815
Netherlands,Belgium,2045-2050,2.5988797783832726e-06,20000.0,3949.9999150867206,3950.0,0.0,7997.556233936586,239.92668701809797
Netherlands,Belgium,2050-2055,4.263236235754935e-06,20000.0,3949.999919339022,3950.0,0.0,8680.057932317544,260.401737969526
Netherlands,Belgium,2055-2060,8.06172402677739e-05,20000.0,3950.0,3950.0,0.0,13195.590326648431,395.86770979945226
NO2,Belgium,2020-2025,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
NO2,Belgium,2025-2030,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
NO2,Belgium,2030-2035,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
NO2,Belgium,2035-2040,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
NO2,Belgium,2040-2045,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
NO2,Belgium,2045-2050,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
NO2,Belgium,2050-2055,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
NO2,Belgium,2055-2060,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Greece,Bulgaria,2020-2025,0.0,20000,600.0,600.0,0.0,4914.707246492747,147.4412173947825
Greece,Bulgaria,2025-2030,799.999999225241,20000.0,1399.999999225241,1400.0,413859336.28544146,11863.342001682648,355.900260050479
Greece,Bulgaria,2030-2035,2.0502317700439714e-08,20000.0,1399.9999992347762,1400.0,0.00724531407694661,10087.855028371212,302.6356508511363
Greece,Bulgaria,2035-2040,8.240969575309653e-08,20000.0,1399.9999993062818,1400.0,0.02142245561520271,11350.952771433436,340.52858314300386
