BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInvCapMax_MW,transmissionInstalledCap_MW,transmissionInstalledCapMax_MW,DiscountedInvestmentCost_Euro,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Germany,Austria,2055-2060,2.085093586416974e-05,20000.0,8200.0,8200.0,0.0,33651.29649777399,1009.5388949332191
Hungary,Austria,2020-2025,0.0,20000,800.0,800.0,0.0,2574.0805479485552,77.22241643845668
Hungary,Austria,2025-2030,0.0,20000.0,800.0,800.0,0.0,5903.886170662035,177.116585119861
Hungary,Austria,2030-2035,1999.9999740783014,20000.0,2799.9999740783014,2800.0,286750740.12166315,17628.637785721163,528.859133571636
Hungary,Austria,2035-2040,2.2505785815667198e-05,20000.0,2799.9999965835686,2800.0,2.3735884629592903,21196.08244326971,635.882473298092
Hungary,Austria,2040-2045,6.343775261004151e-08,20000.0,2799.9999966464884,2800.0,0.004806201508532631,21233.47688027054,637.0043064081178
Hungary,Austria,2045-2050,4.9898210333004236e-08,20000.0,2799.999996695868,2800.0,0.0026191186835616835,22202.234854593276,666.0670456378022
Hungary,Austria,2050-2055,8.4811741589304e-09,20000.0,2799.999996703829,2800.0,0.00029051439992551595,21182.084899145844,635.4625469743763
Hungary,Austria,2055-2060,1.6935034429757326e-08,20000.0,2799.9999967202475,2800.0,0.0003381295406036412,20258.199053812747,607.7459716143825
Italy,Austria,2020-2025,0.0,20000,405.0,405.0,0.0,2246.5985755886372,67.39795726765931
Italy,Austria,2025-2030,1.7118452433351194e-08,20000.0,405.00000001711845,795.0,0.012904149993830287,2531.480810558039,75.9444243167415
Italy,Austria,2030-2035,516.4799233642406,20000.0,921.4799233790612,1295.0,265956025.08139864,7664.290949232153,229.9287284769651
Italy,Austria,2035-2040,2.0688511994334882e-08,20000.0,921.4799234244607,1295.0,0.007836503432392481,5843.813872069587,175.31441616208764
Italy,Austria,2040-2045,4.9655721021838334e-08,20000.0,921.479923449227,2295.0,0.013511554289725404,5589.442461271715,167.68327383815136
Italy,Austria,2045-2050,9.729650929584762e-08,20000.0,921.4799236101368,2295.0,0.018342110284614407,6082.166510710233,182.46499532130707
