BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInvCapMax_MW,transmissionInstalledCap_MW,transmissionInstalledCapMax_MW,DiscountedInvestmentCost_Euro,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Slovakia,Austria,2045-2050,5.395220478123793e-07,20000.0,999.9999582033615,1000.0,0.007312442975669641,8571.368239726258,257.1410471917877
Slovakia,Austria,2050-2055,2.111250251777646e-07,20000.0,999.9999584051471,1000.0,0.0018673876528182312,6779.244515615924,203.37733546847753
Slovakia,Austria,2055-2060,1.3443972354408574e-07,20000.0,999.9999585302473,1000.0,0.0006931188775731791,6795.160235507706,203.85480706523126
Croatia,BosniaH,2020-2025,0.0,20000,750.0,750.0,0.0,3650.691039334545,109.52073118003634
Croatia,BosniaH,2025-2030,0.0,20000.0,750.0,750.0,0.0,3375.6706717278516,101.27012015183566
Croatia,BosniaH,2030-2035,0.0,20000.0,750.0,750.0,0.0,3547.8751581619363,106.43625474485826
Croatia,BosniaH,2035-2040,0.0,20000.0,750.0,750.0,0.0,4338.424878093429,130.15274634280334
Croatia,BosniaH,2040-2045,1.7744594060786767e-06,20000.0,750.0000017744594,1894.0,0.1842992224693656,4548.195803186538,136.44587409559654
Croatia,BosniaH,2045-2050,5.817802291539718e-07,20000.0,750.0000023469003,1894.0,0.04186319934146397,4979.510711253978,149.3853213376191
Croatia,BosniaH,2050-2055,3.0823639780806256e-06,20000.0,750.0000054199247,1894.0,0.14474342708108565,4429.219771070811,132.87659313212458
Croatia,BosniaH,2055-2060,1.476871274520803e-06,20000.0,750.0000068874566,1894.0,0.040424338509772756,5018.782740511772,150.56348221535293
Italy,BosniaH,2020-2025,0.0,20000,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2025-2030,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2030-2035,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2035-2040,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2040-2045,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2045-2050,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2050-2055,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2055-2060,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Serbia,BosniaH,2020-2025,0.0,20000,600.0,600.0,0.0,790.8721832811639,23.726165498434913
Serbia,BosniaH,2025-2030,0.0,20000.0,600.0,600.0,0.0,1155.4867017464644,34.664601052394076
Serbia,BosniaH,2030-2035,0.0,20000.0,600.0,600.0,0.0,3464.475975601048,103.93427926803166
Serbia,BosniaH,2035-2040,0.0,20000.0,600.0,600.0,0.0,3887.4254051186326,116.62276215355898
Serbia,BosniaH,2040-2045,1141.7588052550657,20000.0,1741.7588052550657,1950.0,78380180.91999243,10743.2532951935,322.29759885580575
Serbia,BosniaH,2045-2050,70.91262426086548,20000.0,1812.6714295065788,1950.0,3372651.5395411425,13142.609185195339,394.2782755558601
Serbia,BosniaH,2050-2055,137.3278670258216,20000.0,1949.9992962576684,1950.0,4262339.734890635,13488.770360352577,404.6631108105775
Serbia,BosniaH,2055-2060,2.5027081136027816e-06,20000.0,1949.9992990164712,1950.0,0.045277760474470644,13153.868047834867,394.61604143504695
Germany,Belgium,2020-2025,0.0,20000.0,1000.0,1000.0,0.0,5924.014866634076,177.72044599902264
Germany,Belgium,2025-2030,999.9999209683126,20000.0,1999.9999209683126,2000.0,0.0,16937.60189552226,508.1280568656678
Germany,Belgium,2030-2035,1.5984423400352266e-05,20000.0,1999.9999369433965,2000.0,0.0,17336.233679881356,520.0870103964405
Germany,Belgium,2035-2040,2.823077367600222e-08,20000.0,1999.9999369622878,2000.0,0.0,16800.705841573,504.0211752471907
Germany,Belgium,2040-2045,3.012235701423875e-08,20000.0,1999.9999369830703,2000.0,0.0,13807.633554773074,414.2290066431933
Germany,Belgium,2045-2050,4.232368670046729e-08,20000.0,1999.999937016055,2000.0,0.0,11086.060180933868,332.58180542801745
Germany,Belgium,2050-2055,8.256680778396943e-08,20000.0,1999.9999370892822,2000.0,0.0,9586.969331195913,287.6090799358761
Germany,Belgium,2055-2060,6.286402036623486e-05,20000.0,2000.0,2000.0,0.0,8548.595277250377,256.4578583175112
France,Belgium,2020-2025,0.0,20000.0,3300.0,3300.0,0.0,19209.11914031538,576.2735742094618
France,Belgium,2025-2030,49.999963545088946,20000.0,3349.999963545089,3350.0,0.0,10747.134875499676,322.4140462649914
