Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
Romania,Hydrorun-of-the-river,2035-2040,6564.619002775285
Romania,Hydrorun-of-the-river,2040-2045,5520.458569156352
Romania,Hydrorun-of-the-river,2045-2050,2697.064618052388
Romania,Hydrorun-of-the-river,2050-2055,3661.8505562104237
Romania,Hydrorun-of-the-river,2055-2060,4097.807295934571
Sweden,Hydrorun-of-the-river,2020-2025,0.001689493659541807
Sweden,Hydrorun-of-the-river,2025-2030,62.53572948464413
Sweden,Hydrorun-of-the-river,2030-2035,2920.4444684981527
Sweden,Hydrorun-of-the-river,2035-2040,7659.584528808784
Sweden,Hydrorun-of-the-river,2040-2045,8727.672669772275
Sweden,Hydrorun-of-the-river,2045-2050,10355.943247745412
Sweden,Hydrorun-of-the-river,2050-2055,9460.959965227521
Sweden,Hydrorun-of-the-river,2055-2060,4601.083704439956
Slovenia,Hydrorun-of-the-river,2020-2025,0.0014786906653467768
Slovenia,Hydrorun-of-the-river,2025-2030,562.4565034723049
Slovenia,Hydrorun-of-the-river,2030-2035,153.616837111587
Slovenia,Hydrorun-of-the-river,2035-2040,2307.4155005208663
Slovenia,Hydrorun-of-the-river,2040-2045,6915.592628535198
Slovenia,Hydrorun-of-the-river,2045-2050,6900.740806932112
Slovenia,Hydrorun-of-the-river,2050-2055,6810.516880796975
Slovenia,Hydrorun-of-the-river,2055-2060,8485.917905100705
NO1,Hydrorun-of-the-river,2020-2025,0.0017108798925752069
NO1,Hydrorun-of-the-river,2025-2030,47.54630172215605
NO1,Hydrorun-of-the-river,2030-2035,0.029139790459649467
NO1,Hydrorun-of-the-river,2035-2040,0.06103494905323941
NO1,Hydrorun-of-the-river,2040-2045,0.10083568989710306
NO1,Hydrorun-of-the-river,2045-2050,0.1353890168612376
NO1,Hydrorun-of-the-river,2050-2055,0.22155282301414253
NO1,Hydrorun-of-the-river,2055-2060,0.31051814269770456
NO2,Hydrorun-of-the-river,2020-2025,1891.5697941531112
