Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
Luxemb.,Hydrorun-of-the-river,2050-2055,38.49682564751389
Luxemb.,Hydrorun-of-the-river,2055-2060,21.421297007854328
Latvia,Hydrorun-of-the-river,2020-2025,122.59571572372177
Latvia,Hydrorun-of-the-river,2025-2030,0.0060296352869661386
Latvia,Hydrorun-of-the-river,2030-2035,0.006920654103700534
Latvia,Hydrorun-of-the-river,2035-2040,519.9944483843232
Latvia,Hydrorun-of-the-river,2040-2045,0.05838155947324278
Latvia,Hydrorun-of-the-river,2045-2050,0.14878071055355735
Latvia,Hydrorun-of-the-river,2050-2055,119.81397950490975
Latvia,Hydrorun-of-the-river,2055-2060,106.75947768939635
Netherlands,Hydrorun-of-the-river,2020-2025,0.000712130616684359
Netherlands,Hydrorun-of-the-river,2025-2030,0.10687835784390629
Netherlands,Hydrorun-of-the-river,2030-2035,0.010497462348106338
Netherlands,Hydrorun-of-the-river,2035-2040,93.64357535742532
Netherlands,Hydrorun-of-the-river,2040-2045,170.25618288598022
Netherlands,Hydrorun-of-the-river,2045-2050,216.57432526261047
Netherlands,Hydrorun-of-the-river,2050-2055,246.4244751414325
Netherlands,Hydrorun-of-the-river,2055-2060,342.8863357039375
Poland,Hydrorun-of-the-river,2020-2025,0.0010069135998968539
Poland,Hydrorun-of-the-river,2025-2030,232.10549931638351
Poland,Hydrorun-of-the-river,2030-2035,715.0021086043604
Poland,Hydrorun-of-the-river,2035-2040,1778.3165180801807
Poland,Hydrorun-of-the-river,2040-2045,3331.391687781475
Poland,Hydrorun-of-the-river,2045-2050,4547.878596508023
Poland,Hydrorun-of-the-river,2050-2055,4127.688371775207
Poland,Hydrorun-of-the-river,2055-2060,3894.9675532607976
Portugal,Hydrorun-of-the-river,2020-2025,0.0006783766915468063
Portugal,Hydrorun-of-the-river,2025-2030,766.2332551419505
Portugal,Hydrorun-of-the-river,2030-2035,201.29852124645694
Portugal,Hydrorun-of-the-river,2035-2040,0.10229116974846282
Portugal,Hydrorun-of-the-river,2040-2045,272.8956487056679
Portugal,Hydrorun-of-the-river,2045-2050,0.2539563414090886
Portugal,Hydrorun-of-the-river,2050-2055,89.60195389939487
Portugal,Hydrorun-of-the-river,2055-2060,20.05587881484699
Romania,Hydrorun-of-the-river,2020-2025,0.0007925632890958224
Romania,Hydrorun-of-the-river,2025-2030,82.257959927017
Romania,Hydrorun-of-the-river,2030-2035,2729.6111053090976
Romania,Hydrorun-of-the-river,2035-2040,3578.307537995213
Romania,Hydrorun-of-the-river,2040-2045,5744.016684433568
Romania,Hydrorun-of-the-river,2045-2050,4855.450320986651
Romania,Hydrorun-of-the-river,2050-2055,7022.752155061583
Romania,Hydrorun-of-the-river,2055-2060,3779.8892156245947
Sweden,Hydrorun-of-the-river,2020-2025,0.0009145418667224817
Sweden,Hydrorun-of-the-river,2025-2030,188.56203394605504
Sweden,Hydrorun-of-the-river,2030-2035,1046.3628034026585
Sweden,Hydrorun-of-the-river,2035-2040,8418.956207205283
Sweden,Hydrorun-of-the-river,2040-2045,11735.182081717336
Sweden,Hydrorun-of-the-river,2045-2050,7031.245707999778
Sweden,Hydrorun-of-the-river,2050-2055,7977.383904541536
Sweden,Hydrorun-of-the-river,2055-2060,9926.948283788735
Slovenia,Hydrorun-of-the-river,2020-2025,0.0008088638486932814
Slovenia,Hydrorun-of-the-river,2025-2030,191.18934719982747
Slovenia,Hydrorun-of-the-river,2030-2035,514.9237088766789
Slovenia,Hydrorun-of-the-river,2035-2040,1848.400795744202
Slovenia,Hydrorun-of-the-river,2040-2045,6918.2130409132105
Slovenia,Hydrorun-of-the-river,2045-2050,6275.794546364227
Slovenia,Hydrorun-of-the-river,2050-2055,11147.688611770152
Slovenia,Hydrorun-of-the-river,2055-2060,7298.965712597064
NO1,Hydrorun-of-the-river,2020-2025,119.13084760602085
NO1,Hydrorun-of-the-river,2025-2030,166.46682133492354
NO1,Hydrorun-of-the-river,2030-2035,650.8078726919609
NO1,Hydrorun-of-the-river,2035-2040,1184.858602870314
NO1,Hydrorun-of-the-river,2040-2045,1747.559358819232
NO1,Hydrorun-of-the-river,2045-2050,0.07732648517462555
NO1,Hydrorun-of-the-river,2050-2055,0.09955683679645734
NO1,Hydrorun-of-the-river,2055-2060,1096.7069372151313
NO2,Hydrorun-of-the-river,2020-2025,469.9531713684613
NO2,Hydrorun-of-the-river,2025-2030,568.6972202939444
NO2,Hydrorun-of-the-river,2030-2035,4332.610518650705
NO2,Hydrorun-of-the-river,2035-2040,9830.12099073686
NO2,Hydrorun-of-the-river,2040-2045,8258.67728478926
NO2,Hydrorun-of-the-river,2045-2050,7212.697691501104
NO2,Hydrorun-of-the-river,2050-2055,9481.82730458137
NO2,Hydrorun-of-the-river,2055-2060,10506.284940446914
NO3,Hydrorun-of-the-river,2020-2025,8.661881936305432
NO3,Hydrorun-of-the-river,2025-2030,108.8774471008056
NO3,Hydrorun-of-the-river,2030-2035,0.00494150053251511
NO3,Hydrorun-of-the-river,2035-2040,709.5520100797809
NO3,Hydrorun-of-the-river,2040-2045,0.05039846365808283
NO3,Hydrorun-of-the-river,2045-2050,1345.1942005329347
NO3,Hydrorun-of-the-river,2050-2055,0.11948497530917464
NO3,Hydrorun-of-the-river,2055-2060,0.17619852744119166
NO4,Hydrorun-of-the-river,2020-2025,0.04028587013629291
NO4,Hydrorun-of-the-river,2025-2030,219.34253020441022
NO4,Hydrorun-of-the-river,2030-2035,73.24464580259513
NO4,Hydrorun-of-the-river,2035-2040,1039.2776280220544
NO4,Hydrorun-of-the-river,2040-2045,964.2520774002408
NO4,Hydrorun-of-the-river,2045-2050,1088.9180831682033
NO4,Hydrorun-of-the-river,2050-2055,0.1694084462554472
NO4,Hydrorun-of-the-river,2055-2060,609.3844104251598
NO5,Hydrorun-of-the-river,2020-2025,0.03271523252148811
NO5,Hydrorun-of-the-river,2025-2030,168.23409646710545
NO5,Hydrorun-of-the-river,2030-2035,1021.2522800593293
NO5,Hydrorun-of-the-river,2035-2040,544.7174581352618
NO5,Hydrorun-of-the-river,2040-2045,1125.1135091809547
NO5,Hydrorun-of-the-river,2045-2050,0.1188426543053313
NO5,Hydrorun-of-the-river,2050-2055,534.5908989926468
NO5,Hydrorun-of-the-river,2055-2060,3597.3480668867683
GreatBrit.,Hydrorun-of-the-river,2020-2025,5807.510975980664
GreatBrit.,Hydrorun-of-the-river,2025-2030,3221.057321292773
GreatBrit.,Hydrorun-of-the-river,2030-2035,3512.6356777687115
GreatBrit.,Hydrorun-of-the-river,2035-2040,2003.8118027235946
GreatBrit.,Hydrorun-of-the-river,2040-2045,3304.007985715062
GreatBrit.,Hydrorun-of-the-river,2045-2050,3774.1526106982187
GreatBrit.,Hydrorun-of-the-river,2050-2055,3471.193722759068
GreatBrit.,Hydrorun-of-the-river,2055-2060,4656.158859735195
Croatia,Hydrorun-of-the-river,2020-2025,0.0007885195303871938
Croatia,Hydrorun-of-the-river,2025-2030,0.0005506535398080207
Croatia,Hydrorun-of-the-river,2030-2035,0.005342698963030861
Croatia,Hydrorun-of-the-river,2035-2040,0.006939293217220784
Croatia,Hydrorun-of-the-river,2040-2045,0.05450705842002138
Croatia,Hydrorun-of-the-river,2045-2050,0.07730452474117454
Croatia,Hydrorun-of-the-river,2050-2055,0.09470729593323413
Croatia,Hydrorun-of-the-river,2055-2060,0.15421740082967564
Lithuania,Hydrorun-of-the-river,2020-2025,0.0008244048875358782
Lithuania,Hydrorun-of-the-river,2025-2030,0.012346744309782262
